               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.083529,            0.073061,            0.065578,            0.025451,             0.36505,            0.048674,            0.011635,            0.079412,            0.050126,            0.067202,            0.066605,           0.0016051,           0.0016051
                  36,            0.080364,            0.066989,            0.065395,            0.025441,             0.44913,            0.064095,            0.016106,            0.076909,            0.049934,            0.067113,            0.065595,           0.0015952,           0.0015952
                  37,            0.086558,            0.089329,            0.065925,            0.025441,             0.44913,            0.064095,            0.016106,            0.076909,            0.049934,            0.067113,            0.064582,           0.0015823,           0.0015823
                  38,            0.083761,            0.077687,            0.066287,            0.084174,              0.1883,            0.070679,            0.017707,            0.074847,            0.049756,            0.066917,            0.063566,           0.0015663,           0.0015663
                  39,            0.080211,            0.086187,             0.06469,            0.061775,             0.28316,            0.069514,            0.017488,            0.074847,            0.049756,            0.066917,            0.062547,           0.0015472,           0.0015472
                  40,            0.080149,            0.081104,            0.065911,            0.056512,              0.2696,            0.071124,            0.018619,            0.073185,             0.04945,            0.066888,            0.061525,            0.001525,            0.001525
                  41,            0.084324,            0.084486,            0.064907,            0.056512,              0.2696,            0.071124,            0.018619,            0.073185,             0.04945,            0.066888,              0.0605,           0.0014997,           0.0014997
                  42,            0.081033,            0.092554,            0.064987,            0.087793,             0.13934,            0.075154,            0.023088,            0.072033,            0.048968,            0.066822,            0.059471,           0.0014713,           0.0014713
                  43,            0.072638,            0.069398,            0.066163,            0.087793,             0.13934,            0.075154,            0.023088,            0.072033,            0.048968,            0.066822,             0.05844,           0.0014398,           0.0014398
                  44,            0.077592,            0.084754,             0.06496,            0.097218,             0.15934,            0.070733,            0.021277,            0.070891,            0.048622,            0.067124,            0.057405,           0.0014053,           0.0014053
                  45,            0.071565,            0.069552,            0.065397,            0.097218,             0.15934,            0.070733,            0.021277,            0.070891,            0.048622,            0.067124,            0.056368,           0.0013676,           0.0013676
                  46,            0.074738,            0.090692,             0.06514,            0.092272,             0.17025,            0.074893,            0.022026,            0.069182,            0.048562,            0.067184,            0.055327,           0.0013268,           0.0013268
                  47,            0.071097,            0.071367,             0.06501,            0.043943,             0.33061,            0.054408,            0.018846,            0.069182,            0.048562,            0.067184,            0.054283,            0.001283,            0.001283
                  48,            0.075538,             0.08702,            0.064609,            0.064576,             0.28389,            0.055974,            0.018867,            0.068269,            0.048836,            0.067121,            0.053236,            0.001236,            0.001236
                  49,            0.074663,            0.069189,            0.064943,            0.064576,             0.28389,            0.055974,            0.018867,            0.068269,            0.048836,            0.067121,            0.052186,            0.001186,            0.001186
                  50,            0.073682,            0.054546,            0.064206,            0.049743,             0.16316,            0.043655,            0.015874,            0.067868,            0.049674,            0.067193,            0.051133,           0.0011328,           0.0011328
                  51,            0.063916,            0.070519,            0.064574,            0.049743,             0.16316,            0.043655,            0.015874,            0.067868,            0.049674,            0.067193,            0.050077,           0.0010766,           0.0010766
                  52,            0.066185,            0.070081,            0.065106,            0.049743,             0.16316,            0.043655,            0.015874,            0.067868,            0.049674,            0.067193,            0.049017,           0.0010173,           0.0010173
                  53,            0.070973,             0.07863,            0.064628,            0.064584,            0.098939,            0.047454,            0.017883,            0.066766,            0.049581,            0.067056,            0.047955,          0.00095483,          0.00095483
                  54,            0.070307,            0.070766,            0.064031,            0.064584,            0.098939,            0.047454,            0.017883,            0.066766,            0.049581,            0.067056,            0.046889,          0.00088931,          0.00088931
                  55,            0.072078,             0.08958,            0.064837,            0.064584,            0.098939,            0.047454,            0.017883,            0.066766,            0.049581,            0.067056,            0.045821,           0.0008207,           0.0008207
                  56,            0.071693,             0.06966,            0.064852,            0.084485,             0.10208,            0.049932,            0.019716,            0.065758,            0.049427,            0.066898,            0.044749,            0.000749,            0.000749
                  57,            0.066478,            0.087625,            0.064198,            0.084485,             0.10208,            0.049932,            0.019716,            0.065758,            0.049427,            0.066898,            0.043674,           0.0006742,           0.0006742
                  58,            0.069403,            0.077898,            0.064785,            0.084485,             0.10208,            0.049932,            0.019716,            0.065758,            0.049427,            0.066898,            0.042596,          0.00059631,          0.00059631
                  59,            0.067934,              0.0749,            0.064199,            0.076784,             0.11612,            0.074933,            0.031428,            0.065021,            0.048506,            0.066655,            0.041515,          0.00051533,          0.00051533
                  60,            0.072292,            0.077495,            0.064498,            0.076784,             0.11612,            0.074933,            0.031428,            0.065021,            0.048506,            0.066655,            0.040431,          0.00043125,          0.00043125
                  61,            0.073096,             0.07878,            0.064624,             0.07198,             0.09803,            0.060374,             0.02476,            0.065021,            0.048506,            0.066655,            0.039344,          0.00034408,          0.00034408
                  62,            0.069652,            0.067478,            0.065254,            0.062996,             0.13732,            0.080701,            0.034135,            0.064495,             0.04774,            0.066437,            0.038254,          0.00025381,          0.00025381
                  63,            0.067737,              0.1003,            0.064163,            0.062996,             0.13732,            0.080701,            0.034135,            0.064495,             0.04774,            0.066437,             0.03716,          0.00016045,          0.00016045
