               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.063687,            0.027935,                   0,             0.62804,             0.60377,             0.65023,             0.23821,            0.062494,            0.022122,                   0,            0.063566,           0.0015663,           0.0015663
                  39,            0.060647,            0.022203,                   0,             0.75095,             0.62264,              0.7106,             0.36101,            0.057956,            0.021103,                   0,            0.062547,           0.0015472,           0.0015472
                  40,            0.055516,            0.028911,                   0,             0.61645,             0.57626,             0.61015,             0.35005,            0.060107,            0.020805,                   0,            0.061525,            0.001525,            0.001525
                  41,            0.060847,            0.031756,                   0,             0.72191,             0.62264,             0.71537,             0.36595,            0.056489,            0.020279,                   0,              0.0605,           0.0014997,           0.0014997
                  42,            0.052463,             0.02841,                   0,             0.57552,             0.58491,             0.62081,             0.37028,             0.05884,             0.02021,                   0,            0.059471,           0.0014713,           0.0014713
                  43,             0.05857,            0.033867,                   0,             0.74006,             0.66038,             0.73362,              0.3586,            0.055912,              0.0197,                   0,             0.05844,           0.0014398,           0.0014398
                  44,            0.060027,            0.029685,                   0,              0.6384,             0.63299,             0.66841,             0.35832,            0.057629,            0.019669,                   0,            0.057405,           0.0014053,           0.0014053
                  45,            0.050658,            0.024042,                   0,              0.7688,             0.66038,             0.74373,             0.39167,            0.053864,             0.01911,                   0,            0.056368,           0.0013676,           0.0013676
                  46,            0.052448,            0.029301,                   0,             0.60989,             0.64151,             0.62272,             0.38496,             0.05624,            0.019198,                   0,            0.055327,           0.0013268,           0.0013268
                  47,            0.056739,            0.030884,                   0,             0.80316,             0.69811,             0.76577,              0.4127,            0.052057,             0.01866,                   0,            0.054283,            0.001283,            0.001283
                  48,            0.053987,            0.028523,                   0,             0.66566,             0.66038,             0.66151,             0.41733,            0.054523,            0.018592,                   0,            0.053236,            0.001236,            0.001236
                  49,            0.055564,            0.033892,                   0,             0.86528,             0.69811,             0.78489,             0.47777,            0.050225,            0.018084,                   0,            0.052186,            0.001186,            0.001186
                  50,            0.053809,            0.029664,                   0,             0.86528,             0.69811,             0.78489,             0.47777,            0.050225,            0.018084,                   0,            0.051133,           0.0011328,           0.0011328
                  51,            0.047561,            0.022333,                   0,              0.7339,             0.67655,             0.72327,             0.50022,            0.052164,            0.017685,                   0,            0.050077,           0.0010766,           0.0010766
                  52,            0.047135,            0.021947,                   0,              0.7339,             0.67655,             0.72327,             0.50022,            0.052164,            0.017685,                   0,            0.049017,           0.0010173,           0.0010173
                  53,            0.054764,            0.027886,                   0,              0.7104,             0.67925,             0.74003,             0.50045,            0.049367,            0.017079,                   0,            0.047955,          0.00095483,          0.00095483
                  54,            0.050277,            0.022401,                   0,              0.7104,             0.67925,             0.74003,             0.50045,            0.049367,            0.017079,                   0,            0.046889,          0.00088931,          0.00088931
                  55,            0.055699,             0.03092,                   0,             0.87496,             0.69811,             0.78248,              0.5834,            0.048683,            0.016569,                   0,            0.045821,           0.0008207,           0.0008207
                  56,            0.047773,            0.026185,                   0,             0.87496,             0.69811,             0.78248,              0.5834,            0.048683,            0.016569,                   0,            0.044749,            0.000749,            0.000749
                  57,            0.049441,            0.029617,                   0,             0.85852,             0.69811,             0.79683,             0.57376,            0.047726,            0.016118,                   0,            0.043674,           0.0006742,           0.0006742
                  58,            0.049403,            0.026523,                   0,             0.85852,             0.69811,             0.79683,             0.57376,            0.047726,            0.016118,                   0,            0.042596,          0.00059631,          0.00059631
                  59,            0.053546,            0.025181,                   0,             0.97317,             0.71698,             0.82073,             0.62075,            0.047328,            0.015711,                   0,            0.041515,          0.00051533,          0.00051533
                  60,            0.051519,             0.02756,                   0,             0.97317,             0.71698,             0.82073,             0.62075,            0.047328,            0.015711,                   0,            0.040431,          0.00043125,          0.00043125
                  61,            0.053663,            0.032832,                   0,             0.97464,             0.72523,             0.82665,             0.63664,            0.046857,            0.015413,                   0,            0.039344,          0.00034408,          0.00034408
                  62,            0.049733,            0.025685,                   0,             0.97464,             0.72523,             0.82665,             0.63664,            0.046857,            0.015413,                   0,            0.038254,          0.00025381,          0.00025381
                  63,            0.054936,            0.030764,                   0,             0.91272,             0.78933,               0.828,             0.63684,            0.046134,            0.015137,                   0,             0.03716,          0.00016045,          0.00016045
