               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036718,            0.015849,            0.034439,              0.6351,             0.57802,              0.5755,              0.3457,            0.032174,           0.0062364,            0.017728,            0.009307,            0.009307,            0.009307
                  37,              0.0364,             0.01594,            0.034755,             0.59167,             0.59151,             0.57045,             0.34125,            0.032245,           0.0062577,            0.018052,           0.0092872,           0.0092872,           0.0092872
                  38,            0.036608,            0.015805,            0.033997,             0.61947,             0.60588,             0.59045,             0.35587,            0.032107,           0.0062189,            0.017069,           0.0092674,           0.0092674,           0.0092674
                  39,             0.03631,            0.015879,            0.034327,             0.63348,             0.59706,             0.59641,             0.36108,            0.031875,           0.0062453,            0.016879,           0.0092476,           0.0092476,           0.0092476
                  40,            0.036477,             0.01585,            0.033389,              0.6185,             0.62143,             0.60075,             0.36548,             0.03176,           0.0062243,            0.016784,           0.0092278,           0.0092278,           0.0092278
                  41,            0.036326,            0.015875,            0.033383,              0.6227,             0.62636,             0.60681,             0.36837,            0.031625,            0.006244,            0.016608,            0.009208,            0.009208,            0.009208
                  42,            0.036249,            0.015757,            0.033221,             0.58156,             0.64921,             0.61939,             0.37954,            0.031422,           0.0061739,            0.016013,           0.0091882,           0.0091882,           0.0091882
                  43,            0.036325,            0.015742,            0.033287,             0.61624,             0.63581,              0.6222,             0.38284,            0.031301,           0.0061128,            0.016095,           0.0091684,           0.0091684,           0.0091684
                  44,            0.036251,            0.015841,             0.03286,             0.62397,             0.63751,             0.63136,             0.38807,             0.03126,           0.0061567,            0.015694,           0.0091486,           0.0091486,           0.0091486
                  45,            0.036386,            0.015802,            0.032066,              0.6935,             0.60664,             0.64248,             0.39542,            0.031062,            0.006103,            0.015044,           0.0091288,           0.0091288,           0.0091288
                  46,            0.036055,            0.015897,            0.032408,             0.66608,             0.62637,              0.6394,             0.39368,            0.031051,           0.0061355,            0.014931,            0.009109,            0.009109,            0.009109
                  47,            0.036226,            0.015676,            0.032409,             0.64571,             0.65593,             0.64955,             0.40186,            0.030938,           0.0061178,             0.01472,           0.0090892,           0.0090892,           0.0090892
                  48,             0.03615,            0.015945,            0.031752,             0.68636,             0.63491,             0.65421,             0.40774,            0.030652,           0.0060791,            0.014327,           0.0090694,           0.0090694,           0.0090694
                  49,            0.036038,            0.015729,            0.031755,             0.66906,             0.64631,             0.64882,             0.40486,            0.030661,           0.0060829,            0.014135,           0.0090496,           0.0090496,           0.0090496
                  50,            0.035984,            0.015748,            0.032283,             0.66276,             0.65282,             0.65397,             0.40662,            0.030738,           0.0060665,            0.014053,           0.0090298,           0.0090298,           0.0090298
                  51,            0.036137,            0.015821,            0.031369,             0.69773,             0.64212,             0.66523,             0.41284,            0.030655,           0.0060828,            0.014028,             0.00901,             0.00901,             0.00901
                  52,            0.035891,            0.015735,            0.031726,             0.67839,             0.65779,             0.67281,             0.42293,            0.030281,           0.0060205,            0.013583,           0.0089902,           0.0089902,           0.0089902
                  53,            0.035678,            0.015564,            0.031165,             0.63846,             0.67458,             0.66996,             0.42071,            0.030412,            0.006044,            0.013717,           0.0089704,           0.0089704,           0.0089704
                  54,            0.035996,            0.015776,            0.030828,             0.69654,             0.63056,             0.66586,             0.41618,            0.030344,           0.0060258,            0.013553,           0.0089506,           0.0089506,           0.0089506
                  55,            0.035848,            0.015735,            0.031032,             0.63252,             0.68625,             0.67746,             0.42481,            0.030125,           0.0060192,            0.013253,           0.0089308,           0.0089308,           0.0089308
                  56,            0.035762,            0.015762,            0.031325,             0.63386,             0.68671,             0.67827,             0.42765,            0.030164,           0.0060038,            0.013191,            0.008911,            0.008911,            0.008911
                  57,            0.035886,             0.01574,            0.030645,             0.62291,             0.69939,             0.68553,             0.43601,            0.030055,           0.0059994,            0.012978,           0.0088912,           0.0088912,           0.0088912
                  58,            0.035758,            0.015558,            0.030502,             0.67833,             0.68395,             0.69219,             0.43865,            0.030088,             0.00597,            0.012847,           0.0088714,           0.0088714,           0.0088714
